uf,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Rondônia,28357,28068,26805,27586,27674,29899,29180,29955,28900,27104,24805,14635
Acre,19531,18437,19256,18481,17700,18890,17448,18019,16939,16345,15839,9720
Amazonas,90910,91384,87714,88693,93902,88990,93158,87367,77405,75738,74056,45990
Roraima,9599,9809,10908,11086,11377,9303,11020,11944,11985,12974,15138,8683
Pará,193105,183717,177783,171319,162045,167041,158187,131887,116950,121313,115103,64516
Amapá,17469,16551,16539,15974,15125,17692,17685,19065,18473,15766,15924,9418
Tocantins,27587,25907,25117,25555,24482,23039,25122,25907,24749,26221,24429,17430
Maranhão,171935,163890,154853,151712,140959,137377,125450,118831,105284,115279,111062,56549
Piauí,55908,53339,51780,51094,49401,48407,46278,40035,40198,46037,45806,24311
Ceará,143279,142003,140053,139239,135348,139709,136252,143187,139925,139510,130356,71228
Rio Grande do Norte,53977,53921,55014,58282,55012,52490,50815,49471,42931,31972,48468,20171
Paraíba,76749,70927,65785,68059,65209,65991,63525,60091,55952,58990,58849,33189
Pernambuco,164432,159999,152554,156620,151584,149408,153453,155633,141871,139580,138755,79155
Alagoas,58684,63047,56336,55394,59347,61087,56718,53637,54341,57085,53780,30194
Sergipe,38240,35626,31892,34600,32381,33742,34029,36212,33372,33630,33253,17506
Bahia,235595,232162,231351,229056,216081,217606,212667,208964,171411,175730,166031,94122
Minas Gerais,270804,260775,257245,259580,260744,270424,262014,264798,238423,249582,251347,153740
Espírito Santo,52260,52046,54992,53146,53068,55536,55743,55311,51190,51101,53274,31300
Rio de Janeiro,234436,237316,234528,246971,232968,235729,252465,257521,248215,268520,229546,76225
São Paulo,627559,613416,607038,620629,622359,632503,637903,624356,590146,628827,594669,310170
Paraná,155575,154659,154864,158910,155011,168189,166218,164553,150470,153069,146322,98696
Santa Catarina,86004,85419,86300,89036,87014,89430,95802,98908,94536,79004,87194,55013
Rio Grande do Sul,133708,132519,128689,135249,135305,152706,146024,146604,135316,131199,125517,82642
Mato Grosso do Sul,42209,41991,42367,43275,42421,47717,54796,54808,46745,46659,45618,28788
Mato Grosso,56127,54025,47812,50895,52072,54578,57293,57884,54535,54201,56181,29264
Goiás,104499,101125,103479,105101,98627,104426,107674,99737,92058,91133,88978,56745
Distrito Federal,47672,49081,49799,43221,46791,57898,49377,34839,61673,44022,38973,28420
